date,point_id,mgrs,nlcd,count,et,eto
2015-12-01,12R_nlcd82_03,12R,82,5.0,37.0,67
2015-12-01,12R_nlcd90_03,12R,90,5.0,20.0,65
2015-12-01,12R_nlcd31_02,12R,31,4.0,3.0,69
2015-12-01,12R_nlcd41_02,12R,41,6.0,40.0,69
2015-12-01,12R_nlcd42_02,12R,42,4.0,43.0,80
2015-12-01,12R_nlcd43_02,12R,43,5.0,35.0,73
2015-12-01,12R_nlcd52_02,12R,52,5.0,12.0,73
2015-12-01,12R_nlcd71_02,12R,71,5.0,25.0,83
2015-12-01,12R_nlcd81_02,12R,81,4.0,22.0,71
2015-12-01,12R_nlcd82_02,12R,82,5.0,24.0,78
2015-12-01,12R_nlcd90_02,12R,90,4.0,32.0,70
2015-12-01,12R_nlcd31_01,12R,31,4.0,7.0,66
2015-12-01,12R_nlcd41_01,12R,41,5.0,27.0,69
2015-12-01,12R_nlcd42_01,12R,42,5.0,33.0,80
2015-12-01,12R_nlcd43_01,12R,43,5.0,25.0,70
2015-12-01,12R_nlcd52_01,12R,52,4.0,11.0,69
2015-12-01,12R_nlcd71_01,12R,71,5.0,38.0,79
2015-12-01,12R_nlcd81_01,12R,81,5.0,22.0,80
2015-12-01,12R_nlcd82_01,12R,82,5.0,13.0,78
2015-12-01,12R_nlcd90_01,12R,90,4.0,18.0,77
2015-12-01,12R_nlcd31_00,12R,31,5.0,8.0,59
2015-12-01,12R_nlcd41_00,12R,41,6.0,31.0,70
2015-12-01,12R_nlcd42_00,12R,42,5.0,31.0,75
2015-12-01,12R_nlcd43_00,12R,43,5.0,16.0,63
2015-12-01,12R_nlcd52_00,12R,52,4.0,31.0,62
2015-12-01,12R_nlcd71_00,12R,71,5.0,11.0,79
2015-12-01,12R_nlcd81_00,12R,81,5.0,18.0,69
2015-12-01,12R_nlcd82_00,12R,82,4.0,6.0,78
2015-12-01,12R_nlcd90_00,12R,90,5.0,27.0,69
2016-01-01,12R_nlcd31_08,12R,31,5.0,11.0,67
2016-01-01,12R_nlcd41_08,12R,41,4.0,31.0,75
2016-01-01,12R_nlcd42_08,12R,42,5.0,29.0,67
2016-01-01,12R_nlcd43_08,12R,43,5.0,35.0,71
2016-01-01,12R_nlcd52_08,12R,52,4.0,15.0,76
2016-01-01,12R_nlcd71_08,12R,71,4.0,16.0,74
2016-01-01,12R_nlcd81_08,12R,81,4.0,33.0,69
2016-01-01,12R_nlcd82_08,12R,82,4.0,23.0,75
2016-01-01,12R_nlcd90_08,12R,90,5.0,45.0,68
2016-01-01,12R_nlcd31_07,12R,31,5.0,6.0,68
2016-01-01,12R_nlcd41_07,12R,41,5.0,31.0,73
2016-01-01,12R_nlcd42_07,12R,42,4.0,16.0,75
2016-01-01,12R_nlcd43_07,12R,43,4.0,37.0,67
2016-01-01,12R_nlcd52_07,12R,52,4.0,7.0,74
2016-01-01,12R_nlcd71_07,12R,71,4.0,22.0,63
2016-01-01,12R_nlcd81_07,12R,81,6.0,19.0,76
2016-01-01,12R_nlcd82_07,12R,82,4.0,7.0,77
2016-01-01,12R_nlcd90_07,12R,90,4.0,30.0,77
2016-01-01,12R_nlcd31_06,12R,31,5.0,6.0,68
2016-01-01,12R_nlcd41_06,12R,41,4.0,33.0,75
2016-01-01,12R_nlcd42_06,12R,42,5.0,33.0,65
2016-01-01,12R_nlcd43_06,12R,43,4.0,32.0,68
2016-01-01,12R_nlcd52_06,12R,52,6.0,13.0,77
2016-01-01,12R_nlcd71_06,12R,71,4.0,26.0,81
2016-01-01,12R_nlcd81_06,12R,81,5.0,24.0,67
2016-01-01,12R_nlcd82_06,12R,82,5.0,17.0,78
2016-01-01,12R_nlcd90_06,12R,90,5.0,38.0,68
2016-01-01,12R_nlcd31_05,12R,31,5.0,35.0,68
2016-01-01,12R_nlcd41_05,12R,41,5.0,30.0,76
2016-01-01,12R_nlcd42_05,12R,42,5.0,27.0,64
2016-01-01,12R_nlcd43_05,12R,43,5.0,29.0,72
2016-01-01,12R_nlcd52_05,12R,52,4.0,8.0,85
2016-01-01,12R_nlcd71_05,12R,71,4.0,21.0,64
2016-01-01,12R_nlcd81_05,12R,81,4.0,30.0,71
2016-01-01,12R_nlcd82_05,12R,82,5.0,26.0,78
2016-01-01,12R_nlcd90_05,12R,90,4.0,30.0,77
2016-01-01,12R_nlcd31_04,12R,31,5.0,27.0,71
2016-01-01,12R_nlcd41_04,12R,41,5.0,40.0,75
2016-01-01,12R_nlcd42_04,12R,42,4.0,13.0,67
2016-01-01,12R_nlcd43_04,12R,43,4.0,29.0,69
2016-01-01,12R_nlcd52_04,12R,52,5.0,27.0,72
2016-01-01,12R_nlcd71_04,12R,71,4.0,41.0,82
2016-01-01,12R_nlcd81_04,12R,81,5.0,14.0,81
2016-01-01,12R_nlcd82_04,12R,82,5.0,12.0,78
2016-01-01,12R_nlcd90_04,12R,90,4.0,37.0,76
