MGRS: 11T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
             conor   0.1446   0.1124  -0.0029   0.7103   0.1302   0.6583     4869
     interp_clim_a   0.1483   0.1141   0.0040   0.6240   0.1768   0.6369     4869
     interp_clim_b   0.1532   0.1173   0.0063   0.6270   0.1778   0.6128     4869
     interp_clim_c   0.1493   0.1118  -0.0022   0.6320   0.1669   0.6313     4869
       whit_a_0p50   0.1732   0.1317   0.0092   0.6539   0.1683   0.5326     4869
       whit_a_0p20   0.1730   0.1307   0.0066   0.6715   0.1576   0.5384     4869
       whit_a_0p10   0.1741   0.1313   0.0052   0.6824   0.1512   0.5377     4869
       whit_a_0p05   0.1757   0.1324   0.0043   0.6904   0.1467   0.5347     4869
       whit_a_0p01   0.1786   0.1346   0.0035   0.6992   0.1418   0.5280     4869

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1516   0.1145   0.0015   0.7791   0.1162   0.7314     7595
        climo_mean   0.1293   0.0954  -0.0028   0.7964   0.1030   0.8023     7595
      climo_median   0.1345   0.0916  -0.0066   0.8181   0.0879   0.7878     7595
             conor   0.1125   0.0835  -0.0008   0.8519   0.0762   0.8503     7595
     interp_clim_a   0.1228   0.0927  -0.0006   0.7877   0.1096   0.8233     7595
     interp_clim_b   0.1253   0.0941   0.0001   0.7869   0.1108   0.8153     7595
     interp_clim_c   0.1233   0.0915  -0.0025   0.7986   0.1021   0.8208     7595
       whit_a_0p50   0.1557   0.1168   0.0026   0.8069   0.1029   0.7232     7595
       whit_a_0p20   0.1569   0.1173   0.0029   0.8261   0.0932   0.7234     7595
       whit_a_0p10   0.1588   0.1184   0.0028   0.8355   0.0883   0.7204     7595
       whit_a_0p05   0.1607   0.1198   0.0027   0.8414   0.0850   0.7164     7595
       whit_a_0p01   0.1636   0.1220   0.0023   0.8469   0.0818   0.7099     7595

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1282   0.0958  -0.0053   0.8164   0.0914   0.8308     7595
        climo_mean   0.1168   0.0821  -0.0028   0.8567   0.0727   0.8591     7595
      climo_median   0.1221   0.0793  -0.0046   0.8793   0.0590   0.8475     7595
             conor   0.0936   0.0683  -0.0003   0.9074   0.0485   0.9096     7595
     interp_clim_a   0.1051   0.0780  -0.0040   0.8366   0.0821   0.8892     7595
     interp_clim_b   0.1055   0.0782  -0.0042   0.8360   0.0822   0.8883     7595
     interp_clim_c   0.1061   0.0770  -0.0050   0.8479   0.0752   0.8857     7595
       whit_a_0p50   0.1311   0.0972  -0.0033   0.8509   0.0752   0.8235     7595
       whit_a_0p20   0.1304   0.0965  -0.0026   0.8724   0.0646   0.8269     7595
       whit_a_0p10   0.1312   0.0971  -0.0023   0.8829   0.0594   0.8261     7595
       whit_a_0p05   0.1325   0.0980  -0.0021   0.8894   0.0561   0.8239     7595
       whit_a_0p01   0.1348   0.0996  -0.0020   0.8955   0.0531   0.8194     7595

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1748   0.1335   0.0204   0.7157   0.1607   0.5785     7543
        climo_mean   0.1444   0.1109  -0.0019   0.6772   0.1573   0.6858     7543
      climo_median   0.1497   0.1060  -0.0095   0.6964   0.1403   0.6653     7543
             conor   0.1332   0.1020  -0.0013   0.7421   0.1259   0.7328     7543
     interp_clim_a   0.1421   0.1097   0.0092   0.6965   0.1590   0.6971     7543
     interp_clim_b   0.1466   0.1126   0.0113   0.6959   0.1613   0.6784     7543
     interp_clim_c   0.1431   0.1084   0.0055   0.7060   0.1505   0.6923     7543
       whit_a_0p50   0.1788   0.1359   0.0161   0.7325   0.1480   0.5691     7543
       whit_a_0p20   0.1813   0.1372   0.0144   0.7454   0.1399   0.5651     7543
       whit_a_0p10   0.1842   0.1392   0.0134   0.7523   0.1356   0.5585     7543
       whit_a_0p05   0.1871   0.1414   0.0127   0.7569   0.1326   0.5513     7543
       whit_a_0p01   0.1915   0.1449   0.0119   0.7616   0.1295   0.5403     7543

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1680   0.1271   0.0021   0.7267   0.1433   0.6724     7595
        climo_mean   0.1281   0.0935  -0.0009   0.7998   0.1025   0.8071     7595
      climo_median   0.1326   0.0893  -0.0049   0.8223   0.0869   0.7943     7595
             conor   0.1158   0.0855   0.0001   0.8351   0.0853   0.8423     7595
     interp_clim_a   0.1289   0.0971   0.0006   0.7633   0.1229   0.8068     7595
     interp_clim_b   0.1318   0.0988   0.0014   0.7617   0.1245   0.7972     7595
     interp_clim_c   0.1292   0.0955  -0.0014   0.7745   0.1151   0.8049     7595
       whit_a_0p50   0.1726   0.1293   0.0015   0.7665   0.1221   0.6650     7595
       whit_a_0p20   0.1748   0.1307   0.0009   0.7834   0.1128   0.6624     7595
       whit_a_0p10   0.1776   0.1326   0.0006   0.7911   0.1085   0.6566     7595
       whit_a_0p05   0.1803   0.1347   0.0004   0.7957   0.1060   0.6499     7595
       whit_a_0p01   0.1843   0.1378   0.0002   0.7997   0.1037   0.6400     7595

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1535   0.1164  -0.0032   0.7560   0.1226   0.7541     7595
        climo_mean   0.1145   0.0820  -0.0025   0.8593   0.0700   0.8632     7595
      climo_median   0.1182   0.0791  -0.0044   0.8846   0.0551   0.8553     7595
             conor   0.1006   0.0734  -0.0021   0.8892   0.0550   0.8944     7595
     interp_clim_a   0.1143   0.0865  -0.0029   0.8076   0.0963   0.8680     7595
     interp_clim_b   0.1148   0.0868  -0.0030   0.8070   0.0965   0.8665     7595
     interp_clim_c   0.1140   0.0850  -0.0038   0.8203   0.0889   0.8669     7595
       whit_a_0p50   0.1588   0.1187  -0.0064   0.8087   0.0922   0.7429     7595
       whit_a_0p20   0.1602   0.1189  -0.0073   0.8296   0.0806   0.7426     7595
       whit_a_0p10   0.1623   0.1202  -0.0074   0.8390   0.0756   0.7390     7595
       whit_a_0p05   0.1645   0.1217  -0.0073   0.8445   0.0728   0.7345     7595
       whit_a_0p01   0.1678   0.1241  -0.0069   0.8493   0.0707   0.7271     7595

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1833   0.1407   0.0069   0.7066   0.1591   0.5606     7543
        climo_mean   0.1479   0.1131  -0.0035   0.6887   0.1580   0.6888     7543
      climo_median   0.1533   0.1083  -0.0094   0.7084   0.1419   0.6692     7543
             conor   0.1354   0.1038  -0.0035   0.7400   0.1313   0.7392     7543
     interp_clim_a   0.1469   0.1135   0.0017   0.6977   0.1586   0.6930     7543
     interp_clim_b   0.1522   0.1170   0.0036   0.6947   0.1620   0.6714     7543
     interp_clim_c   0.1478   0.1123  -0.0012   0.7075   0.1505   0.6895     7543
       whit_a_0p50   0.1883   0.1441   0.0094   0.7308   0.1491   0.5533     7543
       whit_a_0p20   0.1918   0.1463   0.0098   0.7483   0.1404   0.5497     7543
       whit_a_0p10   0.1950   0.1488   0.0096   0.7574   0.1355   0.5439     7543
       whit_a_0p05   0.1980   0.1512   0.0093   0.7631   0.1322   0.5377     7543
       whit_a_0p01   0.2022   0.1547   0.0086   0.7685   0.1287   0.5284     7543

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1853   0.1424  -0.0003   0.7019   0.1547   0.6049     7595
        climo_mean   0.1317   0.0961  -0.0030   0.7960   0.1030   0.7925     7595
      climo_median   0.1364   0.0921  -0.0073   0.8182   0.0872   0.7800     7595
             conor   0.1213   0.0895  -0.0023   0.8277   0.0873   0.8240     7595
     interp_clim_a   0.1378   0.1052  -0.0016   0.7490   0.1289   0.7738     7595
     interp_clim_b   0.1408   0.1073  -0.0009   0.7471   0.1306   0.7630     7595
     interp_clim_c   0.1380   0.1038  -0.0038   0.7600   0.1210   0.7726     7595
       whit_a_0p50   0.1931   0.1463  -0.0009   0.7515   0.1283   0.5949     7595
       whit_a_0p20   0.1976   0.1492  -0.0017   0.7699   0.1179   0.5887     7595
       whit_a_0p10   0.2017   0.1522  -0.0022   0.7779   0.1133   0.5804     7595
       whit_a_0p05   0.2055   0.1552  -0.0025   0.7821   0.1107   0.5720     7595
       whit_a_0p01   0.2106   0.1594  -0.0028   0.7851   0.1089   0.5600     7595

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1770   0.1339   0.0076   0.7017   0.1577   0.6667     7595
        climo_mean   0.1176   0.0840  -0.0038   0.8447   0.0743   0.8520     7595
      climo_median   0.1214   0.0803  -0.0069   0.8676   0.0597   0.8432     7595
             conor   0.1074   0.0773  -0.0036   0.8678   0.0629   0.8766     7595
     interp_clim_a   0.1253   0.0948   0.0019   0.7732   0.1160   0.8367     7595
     interp_clim_b   0.1261   0.0953   0.0020   0.7723   0.1165   0.8340     7595
     interp_clim_c   0.1247   0.0931   0.0004   0.7847   0.1087   0.8365     7595
       whit_a_0p50   0.1886   0.1395  -0.0006   0.7599   0.1203   0.6409     7595
       whit_a_0p20   0.1925   0.1418  -0.0039   0.7776   0.1080   0.6348     7595
       whit_a_0p10   0.1965   0.1445  -0.0055   0.7846   0.1029   0.6265     7595
       whit_a_0p05   0.2001   0.1471  -0.0065   0.7880   0.1002   0.6180     7595
       whit_a_0p01   0.2051   0.1509  -0.0074   0.7901   0.0982   0.6058     7595

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1930   0.1489  -0.0115   0.6911   0.1543   0.5448     7543
        climo_mean   0.1434   0.1091  -0.0029   0.7234   0.1455   0.7260     7543
      climo_median   0.1473   0.1037  -0.0086   0.7480   0.1267   0.7133     7543
             conor   0.1327   0.1012  -0.0020   0.7630   0.1252   0.7654     7543
     interp_clim_a   0.1484   0.1146  -0.0072   0.7073   0.1499   0.7073     7543
     interp_clim_b   0.1539   0.1185  -0.0056   0.7034   0.1536   0.6854     7543
     interp_clim_c   0.1485   0.1131  -0.0100   0.7195   0.1405   0.7078     7543
       whit_a_0p50   0.1970   0.1507  -0.0038   0.7202   0.1463   0.5418     7543
       whit_a_0p20   0.2003   0.1528  -0.0012   0.7379   0.1395   0.5389     7543
       whit_a_0p10   0.2035   0.1553  -0.0003   0.7468   0.1356   0.5334     7543
       whit_a_0p05   0.2067   0.1577   0.0001   0.7526   0.1328   0.5270     7543
       whit_a_0p01   0.2113   0.1613   0.0002   0.7582   0.1300   0.5173     7543

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2091   0.1601  -0.0044   0.6522   0.1767   0.5181     7595
        climo_mean   0.1269   0.0930  -0.0011   0.8038   0.1010   0.8098     7595
      climo_median   0.1317   0.0890  -0.0050   0.8273   0.0849   0.7964     7595
             conor   0.1198   0.0880  -0.0011   0.8232   0.0909   0.8304     7595
     interp_clim_a   0.1448   0.1106  -0.0027   0.7280   0.1389   0.7532     7595
     interp_clim_b   0.1489   0.1133  -0.0022   0.7252   0.1409   0.7381     7595
     interp_clim_c   0.1446   0.1093  -0.0047   0.7397   0.1308   0.7534     7595
       whit_a_0p50   0.2292   0.1714  -0.0064   0.6938   0.1530   0.4776     7595
       whit_a_0p20   0.2348   0.1750  -0.0071   0.7097   0.1441   0.4706     7595
       whit_a_0p10   0.2397   0.1786  -0.0075   0.7155   0.1406   0.4616     7595
       whit_a_0p05   0.2439   0.1819  -0.0077   0.7181   0.1390   0.4529     7595
       whit_a_0p01   0.2495   0.1864  -0.0079   0.7194   0.1382   0.4408     7595

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2120   0.1633   0.0435   0.6277   0.2252   0.5195     7595
        climo_mean   0.1238   0.0887  -0.0035   0.8194   0.0847   0.8210     7595
      climo_median   0.1296   0.0854  -0.0076   0.8414   0.0698   0.8060     7595
             conor   0.1177   0.0848  -0.0034   0.8352   0.0770   0.8384     7595
     interp_clim_a   0.1423   0.1099   0.0200   0.7235   0.1549   0.7708     7595
     interp_clim_b   0.1451   0.1114   0.0210   0.7213   0.1570   0.7611     7595
     interp_clim_c   0.1421   0.1082   0.0179   0.7345   0.1475   0.7694     7595
       whit_a_0p50   0.2436   0.1819   0.0276   0.6588   0.1941   0.4330     7595
       whit_a_0p20   0.2496   0.1860   0.0204   0.6763   0.1783   0.4252     7595
       whit_a_0p10   0.2548   0.1902   0.0170   0.6835   0.1715   0.4162     7595
       whit_a_0p05   0.2593   0.1941   0.0152   0.6870   0.1679   0.4079     7595
       whit_a_0p01   0.2652   0.1992   0.0136   0.6893   0.1652   0.3965     7595

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2091   0.1604  -0.0470   0.6812   0.1285   0.5323     7543
        climo_mean   0.1373   0.1016  -0.0015   0.7657   0.1275   0.7686     7543
      climo_median   0.1426   0.0976  -0.0060   0.7886   0.1104   0.7527     7543
             conor   0.1295   0.0961  -0.0007   0.7894   0.1151   0.7943     7543
     interp_clim_a   0.1502   0.1148  -0.0242   0.7234   0.1280   0.7304     7543
     interp_clim_b   0.1555   0.1183  -0.0236   0.7200   0.1304   0.7104     7543
     interp_clim_c   0.1508   0.1138  -0.0265   0.7349   0.1194   0.7295     7543
       whit_a_0p50   0.2193   0.1664  -0.0367   0.7129   0.1213   0.5086     7543
       whit_a_0p20   0.2244   0.1697  -0.0315   0.7231   0.1209   0.4969     7543
       whit_a_0p10   0.2289   0.1727  -0.0294   0.7272   0.1207   0.4865     7543
       whit_a_0p05   0.2330   0.1756  -0.0283   0.7294   0.1206   0.4771     7543
       whit_a_0p01   0.2384   0.1799  -0.0273   0.7310   0.1208   0.4644     7543

