MGRS: 18T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p50   0.2098   0.1611   0.0675   0.6994   0.2575   0.5135     4422
       whit_a_0p20   0.2103   0.1611   0.0547   0.7195   0.2319   0.5086     4422
       whit_a_0p10   0.2128   0.1629   0.0491   0.7308   0.2192   0.5020     4422
       whit_a_0p05   0.2157   0.1652   0.0456   0.7386   0.2108   0.4953     4422
       whit_a_0p01   0.2200   0.1688   0.0421   0.7466   0.2022   0.4856     4422

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2159   0.1673   0.0161   0.5778   0.3429   0.5087     4482
        climo_mean   0.1192   0.0894  -0.0003   0.8344   0.1278   0.8467     4482
      climo_median   0.1241   0.0860  -0.0022   0.8531   0.1115   0.8343     4482
             conor   0.1161   0.0872   0.0004   0.8532   0.1140   0.8544     4482
     interp_clim_a   0.1466   0.1137   0.0079   0.7061   0.2354   0.7747     4482
     interp_clim_b   0.1531   0.1174   0.0120   0.6928   0.2497   0.7533     4482
     interp_clim_c   0.1464   0.1125   0.0069   0.7154   0.2272   0.7733     4482
       whit_a_0p50   0.2111   0.1593   0.0152   0.6708   0.2700   0.5487     4482
       whit_a_0p20   0.2120   0.1598   0.0127   0.7061   0.2402   0.5565     4482
       whit_a_0p10   0.2150   0.1621   0.0111   0.7227   0.2257   0.5538     4482
       whit_a_0p05   0.2182   0.1644   0.0099   0.7325   0.2170   0.5487     4482
       whit_a_0p01   0.2230   0.1680   0.0085   0.7411   0.2088   0.5394     4482

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1995   0.1586  -0.0760   0.6653   0.2205   0.5721     4482
        climo_mean   0.1053   0.0771  -0.0068   0.8628   0.1148   0.8564     4482
      climo_median   0.1096   0.0745  -0.0055   0.8833   0.0978   0.8457     4482
             conor   0.1023   0.0749  -0.0065   0.8820   0.0981   0.8648     4482
     interp_clim_a   0.1306   0.1026  -0.0414   0.7641   0.1676   0.8020     4482
     interp_clim_b   0.1327   0.1038  -0.0410   0.7593   0.1723   0.7941     4482
     interp_clim_c   0.1304   0.1015  -0.0408   0.7743   0.1592   0.8010     4482
       whit_a_0p50   0.1971   0.1498  -0.0392   0.7236   0.2058   0.5613     4482
       whit_a_0p20   0.1973   0.1489  -0.0307   0.7496   0.1911   0.5654     4482
       whit_a_0p10   0.1997   0.1505  -0.0281   0.7615   0.1832   0.5621     4482
       whit_a_0p05   0.2024   0.1525  -0.0273   0.7683   0.1780   0.5568     4482
       whit_a_0p01   0.2067   0.1557  -0.0273   0.7744   0.1726   0.5474     4482

